label,attachment,comparison_sensitivity,delta_jealousy,delta_trust,n_comparisons
MOCK,0.68,0.17,0.0365,-0.0181,3
MOCK,0.277,0.743,0.1463,-0.0245,5
MOCK,0.222,0.325,0.0689,-0.0276,5
MOCK,0.737,0.711,0.1698,-0.0283,4
MOCK,0.807,0.155,0.0353,-0.0227,2
MOCK,0.317,0.916,0.1575,-0.0235,3
MOCK,0.469,0.425,0.0917,-0.0314,3
MOCK,0.602,0.928,0.2014,-0.0216,4
MOCK,0.671,0.858,0.1963,-0.0309,3
MOCK,0.234,0.332,0.0648,-0.0342,3
MOCK,0.85,0.454,0.1242,-0.0232,4
MOCK,0.478,0.318,0.0676,-0.0304,3
MOCK,0.254,0.658,0.1457,-0.0187,5
MOCK,0.485,0.942,0.2535,-0.0199,6
MOCK,0.443,0.765,0.1195,-0.0157,1
MOCK,0.437,0.364,0.0718,-0.0278,2
MOCK,0.738,0.32,0.0793,-0.0356,4
MOCK,0.544,0.362,0.0732,-0.0271,2
MOCK,0.76,0.493,0.1336,-0.0199,5
MOCK,0.948,0.558,0.1234,-0.0344,1
MOCK,0.315,0.278,0.0646,-0.0164,6
MOCK,0.486,0.947,0.2172,-0.0274,5
MOCK,0.907,0.694,0.1487,-0.0271,1
MOCK,0.4,0.663,0.1025,-0.0186,1
MOCK,0.202,0.728,0.1529,-0.0263,6
MOCK,0.334,0.88,0.2015,-0.0294,6
MOCK,0.657,0.272,0.0559,-0.0325,2
MOCK,0.598,0.15,0.0325,-0.0175,3
MOCK,0.472,0.938,0.1811,-0.0204,3
MOCK,0.626,0.213,0.0592,-0.0166,6
MOCK,0.77,0.763,0.1695,-0.0363,2
MOCK,0.324,0.572,0.1243,-0.0198,5
MOCK,0.604,0.734,0.1521,-0.024,2
MOCK,0.704,0.449,0.1197,-0.0206,5
MOCK,0.248,0.167,0.0333,-0.02,5
MOCK,0.253,0.655,0.0981,-0.0157,2
MOCK,0.448,0.561,0.1166,-0.0198,3
MOCK,0.299,0.898,0.1983,-0.0205,5
MOCK,0.555,0.476,0.0767,-0.0247,1
MOCK,0.518,0.524,0.126,-0.0297,6
