label,vram_gb,model_tier,tokens_per_sec,ttft_ms,n
MOCK,0,1.5b,20,406,1
MOCK,0,1.5b,15,425,2
MOCK,0,1.5b,20,421,3
MOCK,0,1.5b,21,406,4
MOCK,0,1.5b,16,412,5
MOCK,4,1.5b,20,394,1
MOCK,4,1.5b,22,368,2
MOCK,4,1.5b,22,371,3
MOCK,4,1.5b,21,389,4
MOCK,4,1.5b,20,364,5
MOCK,6,3b,28,325,1
MOCK,6,3b,25,293,2
MOCK,6,3b,30,324,3
MOCK,6,3b,31,290,4
MOCK,6,3b,25,305,5
MOCK,8,7b,33,266,1
MOCK,8,7b,35,270,2
MOCK,8,7b,33,265,3
MOCK,8,7b,32,250,4
MOCK,8,7b,35,240,5
MOCK,12,7b,42,216,1
MOCK,12,7b,45,229,2
MOCK,12,7b,41,227,3
MOCK,12,7b,44,235,4
MOCK,12,7b,44,231,5
MOCK,16,14b,29,282,1
MOCK,16,14b,30,283,2
MOCK,16,14b,28,307,3
MOCK,16,14b,33,304,4
MOCK,16,14b,28,290,5
MOCK,24,14b,45,163,1
MOCK,24,14b,49,190,2
MOCK,24,14b,49,193,3
MOCK,24,14b,46,163,4
MOCK,24,14b,49,165,5
